nivel;ano;area;variavel;descricao;n;pearson_r;pearson_p;spearman_rho;spearman_p
area;;CN;sim_media_outros_distratores;Similaridade com outros distratores;2576;0.021177157494513064;0.2826296328732871;0.08624004393545058;1.170038932727443e-05
area;;LC;sim_media_outros_distratores;Similaridade com outros distratores;4000;-0.024514433356852036;0.12109897535632988;-0.03939815955286241;0.012704496572570343
area;;MT;sim_media_outros_distratores;Similaridade com outros distratores;580;0.054760434672252334;0.1878556790740026;0.06551895419548204;0.11498081393479438
ano_area;2020.0;CH;sim_media_outros_distratores;Similaridade com outros distratores;720;0.09918345146359545;0.007737453083156254;0.10946016210432102;0.003273001850502459
ano_area;2020.0;CN;sim_media_outros_distratores;Similaridade com outros distratores;544;0.08991404668535014;0.03603235273116753;0.18566271944664633;1.3104663800686796e-05
ano_area;2020.0;LC;sim_media_outros_distratores;Similaridade com outros distratores;800;-0.06286493281942547;0.07555729884518819;-0.09792823811613678;0.005568506285552527
ano_area;2020.0;MT;sim_media_outros_distratores;Similaridade com outros distratores;48;-0.2419722284612595;0.0975259329841818;-0.1502948557841213;0.30790310362437945
ano_area;2022.0;CH;sim_media_outros_distratores;Similaridade com outros distratores;704;0.13001345614246815;0.0005437872059720944;0.1660853042081606;9.435945160207966e-06
ano_area;2022.0;CN;sim_media_outros_distratores;Similaridade com outros distratores;496;0.0702921573262354;0.11794321253121152;0.0931887426462053;0.03801510354130618
ano_area;2022.0;LC;sim_media_outros_distratores;Similaridade com outros distratores;800;-0.1390516303608772;7.946449162663293e-05;-0.13335317735604352;0.00015506960306860008
ano_area;2022.0;MT;sim_media_outros_distratores;Similaridade com outros distratores;96;-0.0509647292026506;0.6219209160322042;0.01851751904025648;0.857880748419613
ano_area;2023.0;CH;sim_media_outros_distratores;Similaridade com outros distratores;720;0.05628858553421802;0.13131068019617748;0.08264510159540213;0.026586056868302937
ano_area;2023.0;CN;sim_media_outros_distratores;Similaridade com outros distratores;528;-0.09903424993126406;0.022855724970226126;-0.10880260506808105;0.012363398505616557
ano_area;2023.0;LC;sim_media_outros_distratores;Similaridade com outros distratores;800;-0.04180506194595042;0.2375657020610448;-0.10270948640340266;0.003634983977741357
ano_area;2023.0;MT;sim_media_outros_distratores;Similaridade com outros distratores;164;0.09227648318081587;0.23992030547725643;0.1395597587617763;0.07470042035393173
ano_area;2024.0;CH;sim_media_outros_distratores;Similaridade com outros distratores;720;0.0598542384906488;0.10855849313895269;0.09325604570003723;0.012299534671195886
ano_area;2024.0;CN;sim_media_outros_distratores;Similaridade com outros distratores;496;-0.02926486780985922;0.5155279145923618;0.11174954348638745;0.012763328886182897
ano_area;2024.0;LC;sim_media_outros_distratores;Similaridade com outros distratores;800;0.10214248851637829;0.003827057316754136;0.11101516192774226;0.0016620115423303515
ano_area;2024.0;MT;sim_media_outros_distratores;Similaridade com outros distratores;160;0.054974217487553996;0.48991433043084065;0.13605351251086997;0.08626306309568185
ano_area;2025.0;CH;sim_media_outros_distratores;Similaridade com outros distratores;720;0.08051857476054973;0.0307498691228613;0.13396711382485016;0.000312477459767988
ano_area;2025.0;CN;sim_media_outros_distratores;Similaridade com outros distratores;512;0.12161068977281808;0.005864855553022995;0.18598325110469388;2.2851145827556287e-05
ano_area;2025.0;LC;sim_media_outros_distratores;Similaridade com outros distratores;800;0.02062271792115509;0.5602646682027524;0.02710779752729728;0.44387498316007096
ano_area;2025.0;MT;sim_media_outros_distratores;Similaridade com outros distratores;112;-0.08092387588428807;0.39632525499396376;-0.04287253540892705;0.6535494623312232
geral;;;diferenca_similaridade;Proximidade relativa;10740;-0.052487001347323245;5.2521818163451756e-08;-0.0641539731485954;2.8404721385268048e-11
ano;2020.0;;diferenca_similaridade;Proximidade relativa;2112;-0.04379577229000535;0.04416994185319553;-0.047245742205208795;0.02991786848405165
ano;2022.0;;diferenca_similaridade;Proximidade relativa;2096;-0.07739891749049255;0.00039010066235084235;-0.10862312642963239;6.203145454116766e-07
ano;2023.0;;diferenca_similaridade;Proximidade relativa;2212;-0.06832544688072463;0.001302549708402562;-0.08670535190125131;4.4399814818199776e-05
ano;2024.0;;diferenca_similaridade;Proximidade relativa;2176;-0.0035503757360117348;0.8685331986825312;-0.010884900416147232;0.6118195234004115
ano;2025.0;;diferenca_similaridade;Proximidade relativa;2144;-0.06520220328927505;0.0025232933087833663;-0.05872182607822234;0.006532565340369232
area;;CH;diferenca_similaridade;Proximidade relativa;3584;-0.04526066891404658;0.006727464077246086;-0.03279909284034289;0.04959846362572958
area;;CN;diferenca_similaridade;Proximidade relativa;2576;-0.044025769258113606;0.02545042713517335;-0.04803057219917144;0.014769491607640505
area;;LC;diferenca_similaridade;Proximidade relativa;4000;-0.08281965260890245;1.5598551699198463e-07;-0.11979624618846324;2.924908000652929e-14
area;;MT;diferenca_similaridade;Proximidade relativa;580;-0.11584419294941578;0.005217511455589919;-0.16342612776492918;7.687320904198726e-05
ano_area;2020.0;CH;diferenca_similaridade;Proximidade relativa;720;-0.11899740119648604;0.0013797207583269675;-0.08869096020569169;0.017294527702555452
ano_area;2020.0;CN;diferenca_similaridade;Proximidade relativa;544;0.02559886438242131;0.5513173655461053;0.015848295682872545;0.7122652499358776
ano_area;2020.0;LC;diferenca_similaridade;Proximidade relativa;800;-0.042177137697776916;0.23341241621542988;-0.06781702569952927;0.05519175124592488
ano_area;2020.0;MT;diferenca_similaridade;Proximidade relativa;48;-0.3681457097866086;0.010039301455782773;-0.47745844040404906;0.000600123544503603
ano_area;2022.0;CH;diferenca_similaridade;Proximidade relativa;704;-0.08040497259954302;0.03292075719710847;-0.07357966099136963;0.0510016900171859
ano_area;2022.0;CN;diferenca_similaridade;Proximidade relativa;496;0.05396995645506239;0.2302131752311884;0.006830240397842327;0.8793962328203323
