cor;area;questao;pct_branco;pct_dupla;pct_A;pct_B;pct_C;pct_D;pct_E
Azul;Ciências Humanas e suas Tecnologias;11;0.003569128381279519;0.0006172176899957063;0.1991753799719737;0.08849843699471811;0.14975207502425353;0.4372372534224426;0.12533685458661206
Azul;Ciências Humanas e suas Tecnologias;12;0.0024420352082438813;0.0006708887934735938;0.07680090449014752;0.1358888769247335;0.5888069344244643;0.1078658339614515;0.09063745019920319
Azul;Ciências Humanas e suas Tecnologias;13;0.0028982395878059254;0.0004025332760841563;0.1862362348886675;0.41649390161815786;0.04711774050240974;0.11348644355294688;0.23666567943781805
Azul;Ciências Humanas e suas Tecnologias;14;0.002173679690854444;0.0006708887934735938;0.09578018192583024;0.14037354001830024;0.5513482964637494;0.06741482318746972;0.14508315840465041
Azul;Ciências Humanas e suas Tecnologias;15;0.002415199656504938;0.0004025332760841563;0.28816706585214885;0.06496407330660137;0.16249091740897226;0.13668290319976317;0.34769504023251435
Azul;Ciências Humanas e suas Tecnologias;16;0.0017174753112924003;0.0004025332760841563;0.327148043565954;0.08239881672717493;0.17953475863923626;0.055882748420061856;0.35503563264757293
Azul;Ciências Humanas e suas Tecnologias;17;0.0019858308286818376;0.0006440532417346501;0.1431953936393478;0.1480116235268794;0.07498789215950062;0.04124737663455847;0.5925577140397137
Azul;Ciências Humanas e suas Tecnologias;18;0.003247101760412194;0.00048303993130098755;0.2545454545454545;0.2890774410774411;0.17311784511784511;0.18596632996632997;0.09729292929292929
Azul;Ciências Humanas e suas Tecnologias;19;0.0023615285530270503;0.0005098754830399313;0.0472320155017897;0.04943886750814113;0.6921172322846301;0.13066178647361196;0.08055009823182711
Azul;Ciências Humanas e suas Tecnologias;20;0.003112924001717475;0.00048303993130098755;0.39030433611634796;0.07069754915162942;0.25569620253164554;0.17845408025855103;0.10484783194182602
Azul;Ciências Humanas e suas Tecnologias;21;0.0022005152425933878;0.00042936882782310007;0.08397460044126352;0.08679976322445246;0.5812301565947371;0.12220847010708712;0.12578700963245978
Azul;Ciências Humanas e suas Tecnologias;22;0.003112924001717475;0.0009392443108630314;0.3975156953089214;0.2995985234284482;0.06178428044081589;0.0621345620133107;0.17896693880850376
Azul;Ciências Humanas e suas Tecnologias;23;0.0028714040360669816;0.0007782310004293688;0.03592975651799181;0.22301228183581126;0.4900075414781297;0.0934873949579832;0.15756302521008403
